"","orig.ident","nCount_RNA","nFeature_RNA","STIM","SAMP","PND"
"1#22#50_1","SeuratProject",208,23,"pbs","AR019","P5"
"1#25#18_1","SeuratProject",859,29,"pbs","AR019","P5"
"1#46#55_1","SeuratProject",351,20,"pbs","AR019","P5"
"1#60#3_1","SeuratProject",409,25,"pbs","AR019","P5"
"1#65#30_1","SeuratProject",105,18,"pbs","AR019","P5"
"1#85#6_1","SeuratProject",473,26,"pbs","AR019","P5"
"1#95#94_1","SeuratProject",489,25,"pbs","AR019","P5"
"10#21#45_1","SeuratProject",180,18,"pbs","AR019","P5"
"10#44#18_1","SeuratProject",1070,34,"pbs","AR019","P5"
"10#88#10_1","SeuratProject",956,34,"pbs","AR019","P5"
"11#13#71_1","SeuratProject",1146,30,"pbs","AR019","P5"
"11#19#15_1","SeuratProject",932,34,"pbs","AR019","P5"
"11#24#94_1","SeuratProject",625,25,"pbs","AR019","P5"
"11#32#48_1","SeuratProject",239,25,"pbs","AR019","P5"
"11#33#71_1","SeuratProject",1283,30,"pbs","AR019","P5"
"11#38#12_1","SeuratProject",2053,36,"pbs","AR019","P5"
"11#43#72_1","SeuratProject",133,18,"pbs","AR019","P5"
"11#44#64_1","SeuratProject",756,33,"pbs","AR019","P5"
"11#54#71_1","SeuratProject",791,27,"pbs","AR019","P5"
"11#81#6_1","SeuratProject",99,17,"pbs","AR019","P5"
"11#86#63_1","SeuratProject",156,26,"pbs","AR019","P5"
"12#29#73_1","SeuratProject",952,34,"pbs","AR019","P5"
"12#39#66_1","SeuratProject",966,31,"pbs","AR019","P5"
"12#54#21_1","SeuratProject",1043,32,"pbs","AR019","P5"
"12#56#50_1","SeuratProject",96,18,"pbs","AR019","P5"
"12#57#3_1","SeuratProject",420,25,"pbs","AR019","P5"
"12#6#42_1","SeuratProject",191,21,"pbs","AR019","P5"
"13#12#79_1","SeuratProject",77,15,"pbs","AR019","P5"
"13#24#22_1","SeuratProject",1553,36,"pbs","AR019","P5"
"13#59#30_1","SeuratProject",140,24,"pbs","AR019","P5"
"13#78#9_1","SeuratProject",997,27,"pbs","AR019","P5"
"13#90#13_1","SeuratProject",521,22,"pbs","AR019","P5"
"13#92#66_1","SeuratProject",1123,29,"pbs","AR019","P5"
"13#93#68_1","SeuratProject",107,18,"pbs","AR019","P5"
"14#33#47_1","SeuratProject",392,22,"pbs","AR019","P5"
"14#40#34_1","SeuratProject",782,27,"pbs","AR019","P5"
"14#41#63_1","SeuratProject",1578,35,"pbs","AR019","P5"
"14#46#20_1","SeuratProject",130,21,"pbs","AR019","P5"
"14#47#70_1","SeuratProject",778,30,"pbs","AR019","P5"
"14#58#37_1","SeuratProject",278,27,"pbs","AR019","P5"
"14#68#96_1","SeuratProject",446,24,"pbs","AR019","P5"
"14#75#60_1","SeuratProject",272,27,"pbs","AR019","P5"
"15#15#66_1","SeuratProject",1459,28,"pbs","AR019","P5"
"15#3#14_1","SeuratProject",357,20,"pbs","AR019","P5"
"15#31#33_1","SeuratProject",267,19,"pbs","AR019","P5"
"15#34#6_1","SeuratProject",399,30,"pbs","AR019","P5"
"15#45#36_1","SeuratProject",959,31,"pbs","AR019","P5"
